direction,score,setup,reclaim,bars_since_flip,flip_time,event_time,entry_price,flip_level,protect_level,forecast_direction,forecast_score,atr_pct,stoch_d,recent_vix_spike,wait,flip_pos,event_pos,favorable_move_pct,adverse_move_pct,end_move_pct,bars_to_peak,favorable_move_atr,favorable_move_risk,stop_risk_pct,symbol,major_move_cutoff_pct,major_move,stoch_k
SELL,70.0,EARLY_FLIP,False,0,2026-04-09 12:15:00,2026-04-09 12:15:00,9.031816482543944,9.029755592346191,9.060920715332031,SELL,91.22442728002437,0.15923429486384783,,False,0,3285,3285,0.24699737480814876,3.7486011894140003,-3.459747727322183,2,1.5511568975724868,0.7664984599251822,0.32224118862842616,AVAX-USD,3.0,False,82.43356171913453
SELL,95.0,POST_FLIP_BREAKDOWN,True,1,2026-04-26 07:00:00,2026-04-26 07:15:00,1.4218000173568726,1.4225000143051147,1.4249999523162842,SELL,92.0,0.09846749959853845,,False,1,4896,4897,0.24616575457056272,0.7174021329726032,-0.4008997123566573,13,2.4999695897042615,1.0937674626532055,0.2250622394392921,XRP-USD,3.0,False,69.46290137602122
SELL,70.0,EARLY_FLIP,False,0,2026-03-29 01:45:00,2026-03-29 01:45:00,4499.2783203125,4499.2783203125,4502.51171875,SELL,88.27971026909316,0.03525568507126965,,False,0,1611,1611,0.24612237075346935,0.05751790488969477,0.18835485986142309,62,6.98106901783162,3.4247961340984596,0.07186482380746391,PAXG-USD,3.0,False,76.98349250406284
SELL,69.0,EARLY_FLIP,False,0,2026-03-09 06:30:00,2026-03-09 06:30:00,8.53577995300293,8.53577995300293,8.573259353637695,SELL,82.98096187672041,0.4708090278601319,,False,0,286,286,0.24586572196548673,4.840602903955057,-4.5142045943349665,1,0.5222196419702653,0.5599491094147583,0.43908583446531074,LINK-USD,3.0,False,5.288884518950765
SELL,76.0,POST_FLIP_BREAKDOWN,True,3,2026-04-26 08:45:00,2026-04-26 09:30:00,0.0977599993348121,0.097860001027584,0.0981199964880943,SELL,92.0,0.21334951951801762,,False,3,4903,4906,0.24549724204287485,1.9742209604741028,-1.5343730053635178,8,1.1506810167535546,0.666666666666551,0.3682458630643761,DOGE-USD,3.0,False,21.879569582156332
SELL,69.0,EARLY_FLIP,False,0,2026-04-26 09:30:00,2026-04-26 09:30:00,0.0977599993348121,0.0977300032973289,0.0981699973344802,SELL,92.0,0.21334951951801762,,False,0,4906,4906,0.24549724204287485,1.9742209604741028,-1.5343730053635178,8,1.1506810167535546,0.5853640807574049,0.4193923920395406,DOGE-USD,3.0,False,14.545475282632381
SELL,76.0,POST_FLIP_BREAKDOWN,True,1,2026-04-10 13:45:00,2026-04-10 14:00:00,9.2799711227417,9.29519748687744,9.390201568603516,SELL,92.0,0.23889131492292812,,False,1,3387,3388,0.24511972606444066,2.868770203339804,-1.2570761467121323,4,1.0260721539563795,0.20635895661203327,1.1878317766709776,AVAX-USD,3.0,False,47.711430680067515
SELL,69.0,EARLY_FLIP,False,0,2026-04-28 00:45:00,2026-04-28 00:45:00,0.2450000047683715,0.2450000047683715,0.2460999935865402,SELL,82.81465346818312,0.42857172398803056,,False,0,5063,5063,0.24490209998103857,1.551016222681014,-0.4081640845286636,7,0.5714378393938989,0.545469323615768,0.44897501908567294,ADA-USD,3.0,False,34.44958936325586
SELL,73.16454415728317,EARLY_FLIP,False,0,2026-03-10 09:00:00,2026-03-10 09:00:00,8.914560317993164,8.909260749816895,8.937110900878906,SELL,75.8227207864159,0.27040495279167176,,False,0,392,392,0.24470468015619848,2.7787792238302376,-1.8900371582248665,49,0.9049563539049762,0.9673517719698893,0.2529634898563202,LINK-USD,3.0,False,74.36415707945277
SELL,94.0,EARLY_FLIP,False,0,2026-04-28 04:45:00,2026-04-28 04:45:00,0.2452999949455261,0.2451000064611435,0.2461999952793121,SELL,92.0,0.24168675559495348,,False,0,5079,5079,0.24459652174209986,1.4268241803875088,-0.40766491934904675,58,1.0120394108480768,0.6666611477201541,0.36689781994731563,ADA-USD,3.0,False,58.42608927233209
SELL,88.0,EARLY_FLIP,False,0,2026-04-13 16:30:00,2026-04-13 16:30:00,81.97868347167969,81.97868347167969,82.1732406616211,SELL,91.3857186292309,0.21897867960402453,,False,0,3686,3686,0.24424133396493847,5.727219172256031,-4.92142937578117,6,1.1153658173781849,1.029136112309321,0.23732656064014238,SOL-USD,3.0,False,45.679219137524605
SELL,69.0,EARLY_FLIP,False,0,2026-05-01 01:45:00,2026-05-01 01:45:00,0.2460000067949295,0.2460000067949295,0.2466000020503997,SELL,85.67452663503703,0.2990702774654075,,False,0,5355,5355,0.24390656099927582,1.707315640082693,-0.8130036978502305,17,0.8155493185961541,1.0000248354652288,0.24390050361679894,ADA-USD,3.0,False,18.418339352363525
